id,name,parent_id,color,label_tree_id,source_id,rank,scientificname,status,valid_AphiaID,valid_name,valid_rank
445963,Siphon_1,445962,b47eaf,3270,,Arbitrary,,,,,
445964,Cerianthid_blood_red_1,443859,bbaaaa,3270,,Arbitrary,,,,,
445965,Asteroidea_large_yellow_1,443166,bbaaaa,3270,,Arbitrary,,,,,
445966,Anemone_red_1,443264,bbaaaa,3270,,Arbitrary,,,,,
445967,Holothurian_white_2,443173,bbaaaa,3270,,Arbitrary,,,,,
445968,Holothurain_pink_small_1,443173,bbaaaa,3270,,Arbitrary,,,,,
445969,Holothurian?_small_pink,443173,bbaaaa,3270,,Arbitrary,,,,,
445970,Inachidae_pink_1,443522,bbaaaa,3270,,Arbitrary,,,,,
445976,Antipatharia_bush_1,443501,bbaaaa,3270,,Arbitrary,,,,,
445977,Ophiuroid_white_skinny_1,443168,bbaaaa,3270,,Arbitrary,,,,,
445978,Porifera_stalked_3,443267,bbaaaa,3270,,Arbitrary,,,,,
445979,Porifera_white_allyum_1,443267,bbaaaa,3270,,Arbitrary,,,,,
445980,Metallogorgia_gold_1,445675,bbaaaa,3270,,Arbitrary,,,,,
445981,Porifera_ball_6,443267,bbaaaa,3270,,Arbitrary,,,,,
445982,Ophiuroid_white_small_1,443168,bbaaaa,3270,,Arbitrary,,,,,
445983,Porifera_stalked_4,443267,bbaaaa,3270,,Arbitrary,,,,,
445984,Zoanthid_colonised_stalk,443727,bbaaaa,3270,,Arbitrary,,,,,
445985,Lepidisis_pink_bushy_1,445908,bbaaaa,3270,,Arbitrary,,,,,
445986,Pennatulacea_skinny_1,443498,c59c07,3270,,Arbitrary,,,,,
445987,Porifera_mouldy_blob_1,443267,bbaaaa,3270,,Arbitrary,,,,,
445988,Gorgonacea_brown_bushy_1,443499,bbaaaa,3270,,Arbitrary,,,,,
445989,Gorgonacea_pink_antipath-like,443499,bbaaaa,3270,,Arbitrary,,,,,
445990,Porifera_stalked_5,443267,bbaaaa,3270,,Arbitrary,,,,,
445991,Anemone_peach_1,443264,bbaaaa,3270,,Arbitrary,,,,,
445992,Echiura_bifurcated_frilly_1,443288,bbaaaa,3270,,Arbitrary,,,,,
445993,Crinoid (motile) orange,443176,bbaaaa,3270,,Arbitrary,,,,,
445994,Isidae_beige_1,443795,bbaaaa,3270,,Arbitrary,,,,,
445995,Porifera_wrinkle_white,443267,bbaaaa,3270,,Arbitrary,,,,,
445996,Primnoidae_bushy_1,443831,bbaaaa,3270,,Arbitrary,,,,,
445997,Gorgonian_tree-like_white_1,443499,bbaaaa,3270,,Arbitrary,,,,,
445998,Gorgonian_green_bushy,443499,bbaaaa,3270,,Arbitrary,,,,,
445999,Lepidisis_white_furry,445908,bbaaaa,3270,,Arbitrary,,,,,
446000,Porifera_stalked_ball,443267,bbaaaa,3270,,Arbitrary,,,,,
446001,Holothurian_white_frilly,443173,bbaaaa,3270,,Arbitrary,,,,,
446002,Echinoid_white_test_long_spines,443171,bbaaaa,3270,,Arbitrary,,,,,
446003,Porifera_stalked_6,443267,bbaaaa,3270,,Arbitrary,,,,,
446004,Lithodidae_1,443529,bbaaaa,3270,,Arbitrary,,,,,
446005,Echinoid_pink_blob,443171,bbaaaa,3270,,Arbitrary,,,,,
446006,Crinoid_stalked_weird,443176,bbaaaa,3270,,Arbitrary,,,,,
446007,Anemone_peach_huge,443264,bbaaaa,3270,,Arbitrary,,,,,
